EKT.F,ENERGIEKONTOR 
MMO.F,MITSUBISHI MOTORS
FRM2.F,ARLINGTON ASST IN-A
NPK.F,NORTHLAND REG.
VCK.F,CONVERSANT
V7T.F,VANTIV-A
QL2.F,POLYPORE INTL
1WT.F,WISDOMTREE INVEST
SGL.F,SGL CARBON
ORL.F,ORIGIN ENERGY
TLD.F,TINKA RESOURCES
DWH.F,DAIWA HOUSE IND
ODE.F,ODEON FILM
IY5.F,ISTYLE INC
ZM5.F,CMC METALS
2XI.F,XIWANG SPECIAL STEE
X0VN.F,CAP-EX IRON ORE
YT2A.F,ATRESMEDIA
WELA.F,MIGME
ZS3.F,FINECOBANK
3V4.F,VISIBLE GOLD MINES
XSK.F,SANKEN ELECTRIC
CXC1.F,ZOLTAV RESOUR
OIX.F,ORIX CORP
3XM.F,XMET
DUB1.F,DRDGOLD
ZEF.F,ZHONGDE WASTE TECH
XYD.F,MINCO SILVER
XGD.F,COALSPUR MINES
P6X.F,PANALPINA WELTTRA N
A60.F,ALLERGAN
0A3.F,ACCELERON PHARMA
IEF.F,VIDELIO
HD4B.F,ACURA PHARMACEUTCLS
0K1.F,KUREHA
36Y.F,MING FAI INTERNATIO
5VT.F,VTV THERAP-A
DNO.F,DENSO
Z081.F,ZOGENIX
EZ3.F,EXCEL
FRI.F,FAIR ISAAC
AFX.F,CARL ZEISS MEDITEC
QKL.F,QUICKLOGIC
NGK.F,NGK SPARK PLUG
79Q.F,QUESTOR TECH
Y1F.F,FRST AMER FINCL
UAN.F,YORBEAU RESOURCES
N0T.F,NEMASKA LITHIUM
WBAG.F,WILD BUNCH
XA4.F,CARMAX
JI5.F,JUBILEE PLATINUM
MMM.F,3M
A0BDRX.F,IKB FUNDING TR VRN
ZZF.F,US AUTO PARTS NTWRK
QS3.F,SOLOCAL GROUP
D1U.F,DAIHATSU DIESEL MFG
6P8.F,PETS AT HOME GR
SJ7.F,SODEXO
OTC.F,GLB TEL SPGDR REG-S
QIW.F,QIWI SP ADS
XONA.F,EXXON MOBIL
LMW.F,XENOPORT
OSY.F,SYNACOR
QFC.F,POPEYES LOUISIANA
BTKC.F,MONDI -NPV-
MTT.F,MATTEL
4OP.F,THE PEOPLE'S OP
WRM.F,MENS WEARHOUSE
Q9S.F,CHAMPION REIT
YB1.F,YOUBISHENG  G P
